,(NH4)2SO4,Triton X-100,Glycine,CSL-P,NaCl,K2HPO4,Tryptone,YE,Methionine,Cysteine,NH4OAc,Glycerol,Na2S2O3,ZnSO4·7H2O,MgSO4·7H2O,FAC,replicate_1,replicate_2,replicate_3,mean_titer(mg/L),STD,CV,mean_output per unit medium cost (mg/CNY)
F6,8,24,28,23,47,36,51,81,204,11,6,42,35,6,26,31,139.5832557,131.1017943,135.0034063,135.2294854,3.466230529,2.563220971,6.050108875
G6,0,18,19,0,51,51,130,135,181,68,0,99,10,35,21,11,256.7896779,257.8345446,228.0667991,247.5636739,13.79296997,5.571483796,6.602976099
H6,8,41,85,0,17,36,62,99,159,102,6,127,35,24,30,11,0,0,0,0,0,0,0
A7,0,12,38,23,43,17,108,244,136,0,0,127,35,41,26,6,259.7090463,223.7290488,250.9455466,244.7945472,15.31918518,6.257976474,5.656007518
B7,8,18,38,68,40,32,51,226,91,23,6,99,14,0,21,6,290.7854357,240.7993818,249.3629207,260.3159127,21.82700805,8.384815137,6.823281951
C7,8,6,28,45,36,28,74,81,45,0,0,61,31,47,26,41,212.0501714,187.4638952,193.3964979,197.6368548,10.47558155,5.300419075,7.861713491
D7,0,0,28,45,21,17,74,244,23,45,0,80,35,6,30,41,220.4126708,232.1523385,199.4949175,217.3533089,13.50670343,6.214169686,5.473638633
E7,0,29,57,45,40,51,119,153,45,45,0,99,14,24,26,16,291.3761051,290.0095941,286.99715,289.4609498,1.829311318,0.631971711,7.109479848
F7,0,53,57,91,51,51,51,99,181,0,0,80,10,29,21,41,237.362725,234.135093,240.5903569,237.362725,2.635350456,1.110262977,7.552972747
G7,0,41,9,0,21,36,130,81,0,11,6,70,24,0,42,41,195.0273856,175.5711304,202.428983,191.0091664,11.32683028,5.929993043,6.728470504
H7,0,0,47,23,21,36,96,208,0,68,0,99,28,47,9,31,208.2472695,211.3415479,222.3704161,213.9864111,6.06147911,2.832646745,5.407647115
A8,0,35,47,45,36,51,51,135,181,79,6,108,42,53,26,21,239.9421016,207.5507861,259.3040037,235.5989638,21.35019153,9.062090592,6.934171385
B8,0,18,0,23,17,25,85,244,68,79,6,118,28,53,21,41,209.9248064,239.91294,241.6454023,230.4943829,14.5620732,6.317756216,5.553356391
C8,0,41,0,0,25,32,142,244,45,23,6,70,31,53,26,11,291.0244866,231.1052764,241.398936,254.5095663,26.1596943,10.27847192,5.786485839
D8,0,0,19,23,25,25,51,226,23,45,6,80,17,6,30,46,236.4043437,209.6330796,203.2572356,216.431553,14.36075959,6.635243058,6.642230645
E8,8,35,57,0,28,40,96,208,159,45,0,108,24,29,13,51,239.1341094,216.2784312,252.4328264,235.9484557,14.93087104,6.328022362,5.986743282
F8,0,29,28,0,28,25,108,172,68,11,6,61,17,29,42,46,206.4901101,222.4101374,198.9037007,209.2679828,9.795426624,4.680805202,6.24203367
G8,0,18,9,0,47,28,119,99,113,11,0,51,21,53,13,16,186.4631758,185.2706292,184.2726584,185.3354878,0.895450178,0.483150954,6.455780831
H8,0,41,47,68,32,21,85,117,23,57,6,70,35,53,26,16,220.0570738,236.9058703,236.015885,230.992943,7.741358419,3.351339793,6.509350994
A9,0,35,19,0,40,32,142,135,204,34,0,99,35,18,38,36,273.3192688,250.8880382,232.2560175,252.1544415,16.78790208,6.657785594,6.526233618
B9,0,41,19,68,43,25,108,153,181,11,6,80,42,24,38,31,277.6435991,221.5223507,240.4992679,246.5550726,23.30812746,9.453517715,6.040477325
C9,0,47,28,113,40,36,51,153,23,79,0,99,24,53,42,11,301.7436258,271.235665,246.6637514,273.2143474,22.52975114,8.246181562,7.027680237
D9,8,29,0,0,21,43,62,172,113,23,0,42,14,12,13,31,218.8122228,175.1863443,201.5833449,198.527304,17.94080747,9.036947116,7.407177897
E9,0,24,28,68,36,40,130,99,0,34,6,108,42,24,17,16,268.7909672,295.0403565,255.4010926,273.0774721,16.46407007,6.029083959,7.011354395
F9,8,6,0,23,21,17,85,135,23,11,0,70,35,35,34,41,225.3527868,234.9246739,222.3942409,227.5572339,5.347748926,2.350067644,8.083039052
G9,0,47,28,23,43,51,142,117,181,34,6,127,10,0,9,16,265.7099162,270.2917436,264.4978867,266.8331822,2.495127143,0.935088778,6.689858266
H9,8,29,19,23,25,28,153,135,68,79,0,127,38,0,13,11,289.4965377,284.4347334,312.286427,295.4058994,12.11389353,4.100762226,6.875862463
A10,8,0,38,45,17,51,74,153,23,45,6,99,31,0,17,11,255.757262,210.862503,206.3968722,224.3388791,22.29082851,9.936230672,6.689721888
B10,0,47,38,0,43,40,153,244,68,45,0,80,21,53,9,11,297.4197235,294.1273828,267.6895708,286.4122257,13.30697139,4.646090562,5.972632552
C10,8,53,38,45,51,43,74,226,45,45,0,70,24,0,13,31,254.7572825,220.5208137,232.7546081,236.0109014,14.16536936,6.001997906,5.934642845
D10,8,0,38,45,36,28,142,81,23,45,0,80,42,6,21,6,238.5342283,227.9401441,215.6874753,227.3872826,9.335336876,4.105478886,6.210165841
E10,8,29,28,0,43,32,130,153,0,79,6,99,38,0,38,46,205.0886651,261.2329429,256.4661285,240.9292455,25.4177239,10.54987071,6.282643329
F10,8,35,38,204,17,25,51,81,113,102,0,127,14,35,26,51,298.8572744,273.1213294,313.8020864,295.2602301,16.80148893,5.69040027,6.667706228
G10,0,47,0,45,47,32,85,172,204,102,6,80,24,35,9,16,103.4815282,192.5566652,162.3002626,152.7794854,36.98268883,24.20658031,3.798982683
H10,60,47,9,0,47,47,74,135,91,0,0,89,35,24,26,51,227.9496616,218.0450035,249.4834799,231.8260483,13.12413119,5.661197817,8.629905628
A11,8,18,0,45,28,36,153,190,68,23,6,108,21,0,17,41,268.9168507,235.5051512,249.8542455,251.4254158,13.68543869,5.443140521,5.488439551
B11,0,29,9,91,47,25,142,81,45,68,0,89,35,29,42,11,163.5472442,260.301117,189.1560473,204.3348029,40.93184532,20.03175414,4.857628164
C11,8,41,38,0,40,47,96,244,181,102,0,118,21,24,42,6,269.1461673,282.9926358,282.7408631,278.2932221,6.468761119,2.324440772,6.235549552
D11,8,35,19,68,28,21,142,208,23,0,0,108,24,18,9,6,331.3680898,245.2506628,287.3664094,287.995054,35.16010242,12.20857856,6.104536494
E11,15,47,19,0,36,32,62,172,159,11,6,118,17,41,9,16,241.0761143,231.5810857,260.9463989,244.534533,12.23521964,5.003473128,8.248007941
F11,8,53,9,136,47,51,85,99,159,0,6,127,28,24,42,6,255.4721526,265.3603955,250.7209522,257.1845001,6.097946403,2.371039624,6.415212613
G11,8,29,28,0,25,28,74,244,113,68,6,70,28,24,26,46,146.8743049,177.9690577,155.3080192,160.0504606,13.12983816,8.203561619,4.211708447
H11,0,29,28,23,21,36,130,81,45,0,0,51,28,41,26,46,207.1052763,203.0193407,224.47962,211.5347457,9.304158424,4.398406699,6.873955173
A12,8,24,19,68,36,40,62,244,68,91,6,118,14,41,42,36,342.1981786,282.4992252,263.6881235,296.1285091,33.46914223,11.30223575,6.743291964
B12,0,12,85,0,25,25,85,190,68,45,0,127,42,29,13,6,225.9484234,243.6095253,231.5362088,233.6980525,7.370382422,3.153805667,6.422418772
C12,23,41,9,0,25,47,108,99,136,11,0,127,28,6,21,16,258.4990229,246.3452755,211.9917351,238.9453445,19.69435095,8.242199066,8.05080787
D12,8,12,19,23,21,36,96,172,68,0,0,42,24,29,13,41,173.8259339,150.8803966,149.9487604,158.2183636,11.04277061,6.979449388,4.838590347
E12,38,24,0,45,36,36,74,99,0,0,0,99,38,18,26,26,196.1080161,213.1622209,193.2075675,200.8259348,8.803072059,4.383433876,7.583428919
F12,0,41,0,91,25,47,62,244,45,57,0,89,31,24,30,16,291.1483207,229.7515829,197.7336572,239.5445203,38.75995407,16.1806891,5.490872223
