(NH4)2SO4,Triton X-100,Glycine,CSL-P,NaCl,K2HPO4,Tryptone,YE,Methionine,Cysteine,NH4OAc,Glycerol,Na2S2O3,ZnSO4·7H2O,MgSO4·7H2O,FAC,replicate_1,replicate_2,replicate_3,mean_titer(mg/L),CV
0,53,38,204,40,32,142,153,113,23,6,108,17,0,17,41,292.4315266,283.528248,294.7061783,290.2219843,1.661976533
8,35,28,0,25,40,62,208,136,79,0,118,28,29,17,6,263.685509,252.3707209,279.2872574,265.1144958,4.162348574
0,18,38,159,25,32,119,135,136,11,0,118,24,6,5,6,307.2940593,339.6840806,328.2007983,325.0596461,4.12490995
0,47,47,113,28,28,51,244,159,11,0,80,14,6,42,51,278.0312438,271.1626975,304.0607636,284.4182349,4.981955611
0,41,9,181,25,32,119,135,45,0,0,108,17,47,30,31,258.4796714,271.207822,274.870295,268.1859295,2.619204966
8,29,57,68,21,43,130,226,181,0,0,127,28,35,42,41,268.549454,261.1516352,301.3975649,277.0328847,6.313742773
0,24,9,45,40,28,51,208,136,102,0,80,21,12,13,36,223.9886476,232.7912532,250.7582265,235.8460424,4.723445619
8,24,9,45,36,47,130,99,45,57,0,89,10,47,13,6,244.1866283,266.2201375,282.0695442,264.15877,5.880619495
0,35,28,45,36,51,85,190,136,45,6,118,21,47,17,16,266.9851466,252.375567,297.7941448,272.3849528,6.950129608
8,53,57,68,40,32,74,244,45,45,6,80,10,35,26,16,256.4529242,249.061054,275.3486602,260.2875461,4.252646914
0,18,9,0,40,25,96,226,45,34,0,118,28,18,17,51,256.4933787,277.6770292,281.6804217,271.9502766,4.063684312
8,24,9,0,43,47,85,208,91,23,0,127,14,18,9,31,270.5307593,289.4960774,292.2962808,284.1077058,3.402996169
0,24,9,204,47,43,108,135,0,57,6,118,38,6,34,16,288.8051268,285.1301866,312.7853632,295.5735589,4.148783281
0,18,47,23,36,47,153,190,181,45,0,118,21,6,21,26,286.2223148,275.9898802,302.506466,288.2395537,3.788141268
8,53,47,0,21,51,96,244,68,102,0,80,42,18,21,36,232.4448099,246.1606878,268.6839095,249.0964691,5.997468472
0,35,57,159,36,28,130,190,45,57,6,89,42,6,30,6,302,338.1581387,310.6732431,316.9437939,4.863019293
0,29,38,68,47,51,51,153,91,57,0,108,38,53,34,36,279.9516117,254.8683635,292.0497154,275.6232302,5.618071698
8,47,19,68,40,32,119,190,136,45,0,108,42,0,9,16,276.0395834,273.1268979,285.3463085,278.1709299,1.873393605
0,29,28,68,36,25,108,117,204,0,6,108,24,29,26,26,281.6207833,286.5702344,299.7763277,289.3224485,2.648671197
0,35,19,0,51,36,74,99,181,57,0,118,17,6,26,11,312.8477651,319.160509,328.1690563,320.0591101,1.964350334
0,47,9,68,36,43,153,99,204,102,0,118,42,41,30,36,259.9842232,264.2492776,283.6917994,269.3084334,3.831497509
8,35,0,136,47,28,62,208,45,91,0,118,28,0,17,11,268.6228718,306.1788103,304.6477968,293.1498263,5.919988178
0,18,28,204,40,36,119,190,91,23,0,80,31,12,34,51,303.3349503,328.769337,321.0860142,317.7301005,3.352294271
0,53,57,0,36,47,96,190,136,0,6,127,14,6,38,51,309.0256499,316.8470222,314.778897,313.550523,1.055361925
0,24,19,23,51,47,74,190,45,45,6,108,31,29,42,11,271.5810414,291.411425,295.4592395,286.1505686,3.646298702
8,18,28,91,36,32,153,135,91,34,0,89,35,29,9,6,276.8171381,275.0185084,277.8479248,276.5611905,0.422762374
0,24,9,204,21,25,62,172,159,68,0,118,28,6,34,51,282.9453431,279.7492051,275.674699,279.4564157,1.064723989
0,29,47,181,47,32,51,99,68,23,0,127,24,41,9,46,305.0958786,240.6560505,337.8994813,294.5504701,13.71367401
0,18,28,181,32,17,51,226,91,0,0,108,24,53,42,26,305.0850722,300.2922732,336.2226684,313.8666713,5.074992372
0,41,0,23,51,21,108,208,68,23,6,127,21,29,42,21,285.263684,279.4560136,324.7693129,296.4963368,6.790004964
0,29,0,159,47,21,96,190,136,102,0,80,14,12,38,41,277.1244564,308.4908049,303.8763229,296.4971947,4.663627049
0,53,9,0,40,47,130,135,23,68,0,127,38,29,38,46,272.957602,305.7297516,297.0011031,291.8961522,4.747435411
0,41,47,136,21,51,51,99,0,45,0,89,17,24,42,41,228.7627846,270.6816736,273.2199463,257.5548015,7.914969919
0,41,38,68,43,51,108,81,136,34,6,80,17,12,21,26,274.9441631,252.5503413,307.3380974,278.2775339,8.082168255
0,53,0,68,43,36,142,190,45,68,0,80,31,0,42,41,268.105345,249.3552192,235.7761579,251.0789074,5.621642986
8,29,0,45,17,21,85,172,136,57,0,99,28,47,26,21,262.4978466,261.76072,280.9329622,268.3971763,3.304522821
8,41,38,136,51,51,153,208,136,23,0,70,28,29,13,11,242.4056062,241.6393661,282.6474033,255.5641252,7.494527747
0,41,57,91,28,36,153,135,68,11,6,127,28,47,34,16,295.2589179,308.7768236,345.1016908,316.3791441,6.652249244
0,53,28,113,21,43,119,153,91,34,0,108,10,41,13,51,297.3486311,306.6719495,326.4576337,310.1594048,3.913105848
8,29,19,23,25,47,85,153,113,57,0,108,35,53,13,16,255.9595227,290.0062801,296.2986602,280.754821,6.311597171
8,29,38,0,32,40,119,172,204,45,0,108,42,41,26,46,263.1492998,286.0794959,295.9942612,281.741019,4.882268963
8,24,57,181,36,40,62,244,113,0,0,89,28,6,26,26,274.5959398,268.4717714,296.1828072,279.7501728,4.248635272
0,41,0,159,40,51,119,172,68,11,6,118,28,6,38,41,268.6171296,297.3886813,322.1540021,296.053271,6.790766287
8,41,9,91,36,40,130,99,204,0,6,118,10,47,9,6,263.4000108,248.3349545,211.9863387,241.2404347,8.945726783
0,18,38,204,21,32,51,153,91,23,6,118,38,53,38,21,285.8120823,284.7828619,307.233496,292.6094801,3.536889479
0,47,19,68,40,25,62,117,136,45,6,127,38,47,34,26,257.4282302,274.5651156,278.8308922,270.274746,3.422179159
8,41,47,45,47,25,74,190,159,23,0,118,17,47,26,16,262.9038322,239.0291303,288.3504862,263.4278162,7.644890405
8,29,47,0,47,51,153,99,159,79,6,89,10,24,5,16,241.2557579,255.0555348,232.7016603,243.0043177,3.789771217
0,47,57,91,17,21,74,244,23,45,0,118,24,29,13,31,320.2541721,343.8926456,324.0945056,329.4137744,3.144208343
8,53,28,113,47,51,108,81,0,91,6,127,24,35,5,26,307.1543314,273.2071105,302.5026523,294.2880314,5.106201993
8,47,0,23,25,21,153,190,159,45,6,89,24,0,21,11,269.3635606,264.8065021,264.2080035,266.1260221,0.871392062
8,29,47,113,43,28,119,81,159,79,0,89,38,24,42,16,302.7457167,288.0640399,305.7062676,298.8386747,2.581356051
0,41,47,181,32,21,85,135,45,68,0,118,31,29,5,31,329.9020838,354.4520912,352.2470064,345.5337271,3.209481
0,24,57,136,43,36,62,208,204,34,0,108,42,12,34,11,263.3828735,271.1293507,236.6439144,257.0520462,5.74716036
8,47,47,159,51,40,62,81,23,79,6,89,31,0,34,26,285.2309964,309.2901162,236.2922523,276.9377883,10.96735127
8,24,19,45,28,32,62,153,0,57,6,118,17,6,38,11,253.9075509,271.201517,233.3666489,252.8252389,6.116860902
8,29,0,0,43,17,62,244,204,79,6,127,35,12,30,31,275.9374557,268.1531201,247.4502792,263.8469516,4.556370458
